"","run.order","std.order","x1","x2","x3","WWR_N","WWR_E","RoofOvrhng_N","RoofOvrhng_E"
"1",1,1,-1,-1,-1,0.189306540173308,0.185572646690224,0.417712770273775,0.533759334522091
"2",2,2,1,-1,-1,0.173717380172427,0.146680424864123,0.546948045311627,0.537953664709219
"3",3,3,-1,1,-1,0.183817283232535,0.13225499405958,0.451454062656548,0.423918179651241
"4",4,4,1,1,-1,0.165942911526116,0.216624513705975,0.526509600537042,0.489015544406509
"5",5,5,-1,-1,1,0.128850692905892,0.209737732623935,0.495999802603687,0.457676824858832
"6",6,6,1,-1,1,0.154959678100117,0.140806544116984,0.432799831810248,0.486970904875085
"7",7,7,-1,1,1,0.23614325156836,0.132842760448729,0.516735790502758,0.425105926996013
"8",8,8,1,1,1,0.102205540907448,0.118720953368253,0.553226837557553,0.519592426428849
"9",9,9,0,0,0,0.131643555225735,0.136932502687676,0.550623974673196,0.487002497676715
"10",10,10,0,0,0,0.162146791144222,0.164133424851282,0.515447461379431,0.474648301284202
"11",11,11,0,0,0,0.142235716889548,0.104347670211982,0.504820835324122,0.49507792999633
