"","run.order","std.order","x1","x2","x3","WWR_N","WWR_E","RoofOvrhng_N","RoofOvrhng_E"
"1",1,1,-1,-1,-1,0.114909189639529,0.125220013007848,0.497266449778173,0.54251788354255
"2",2,2,1,-1,-1,0.154605902228988,0.185530338976025,0.536037713008549,0.529648539449444
"3",3,3,-1,1,-1,0.138157713032491,0.142949099162203,0.485520320596679,0.489496925316041
"4",4,4,1,1,-1,0.167676093379129,0.166476415842348,0.495359368773076,0.481405954252011
"5",5,5,-1,-1,1,0.222851134169626,0.1741812908256,0.485728544487463,0.420653502895858
"6",6,6,1,-1,1,0.147951879874838,0.194819828148826,0.487959434451176,0.511676350664581
"7",7,7,-1,1,1,0.146867888467669,0.148228872480153,0.453401552158828,0.499139882194494
"8",8,8,1,1,1,0.177901789615779,0.131343074285573,0.454036494667304,0.433085632532178
"9",9,9,0,0,0,0.218304612814318,0.161378652124104,0.515765172099597,0.504730468287617
"10",10,10,0,0,0,0.128465109014403,0.164052653553522,0.491682267529513,0.545437593107997
"11",11,11,0,0,0,0.155643397312117,0.100976599070143,0.449591704049077,0.516534677201606
